#Tutorial
# object, x, y, w, h,solid,l,name,image,fr1,fr2,fre,def
%FILL,AnimatedPicture,0,0,288,0,true,1,ocean,ocean,1,2,9
%FILL,AnimatedPicture,0,360,288,360,true,1,ocean,ocean,1,2,9
%FILL,AnimatedPicture,0,36,0,324,true,1,ocean,ocean,1,2,9
%FILL,AnimatedPicture,288,36,288,324,true,1,ocean,ocean,1,2,9
Picture,36,36,36,36,false,1,grass,grasswaternw
Picture,252,36,36,36,false,1,grass,grasswaterne
Picture,36,324,36,36,false,1,grass,grasswatersw
Picture,252,324,36,36,false,1,grass,grasswaterse
%FILL,Picture,72,36,180,72,false,1,grass,grass
%FILL,Picture,36,72,36,288,false,1,grass,grass
%FILL,Picture,216,108,252,288,false,1,grass,grass
Picture,252,72,36,36,false,1,grass,grass
%FILL,Picture,72,324,216,324,false,1,grass,grass
Picture,216,36,36,36,false,1,grass,grass
Terrain,216,72,36,36,false,1,castle,castle,0,0,0,2.0
Terrain,72,108,36,36,false,1,forest,forest,0,0,0,1.5
%FILL,Terrain,72,144,72,180,false,1,hill,hill,0,0,0,1.5
%FILL,Picture,72,216,72,288,false,1,dirtgrass,dirtgrass
%FILL,Terrain,108,108,108,180,false,1,mountain,mountain,0,0,0,2.0
%FILL,Terrain,108,216,108,252,false,1,hill,hill,0,0,0,1.5
%FILL,Terrain,144,180,144,252,false,1,mountain,mountain,0,0,0,2.0
%FILL,Picture,108,288,180,288,false,1,dirtgrass,dirtgrass
%FILL,Terrain,144,108,180,144,false,1,forest,forest,0,0,0,1.5
%FILL,Terrain,180,180,180,252,false,1,swamp,swamp,0,0,0,.5
Sprite,0,180,20,20,false,3,cloud,cloud,1,3,4,2,0
#------------------
Music,mission.mid
#rewrite:Load all the images from here too....
#rewrite:Don't load an image once we already have it in resourceloader.
#Image,cavalry.gif
#Sound,gun.au
#Image,cavalry.gif
#Image,infantry.gif
#Image,slimes.gif
#Image,eye1.gif
#Image,eye2.gif
#Image,wyrm.gif
#Army,1,Knights
#UnitPrototype,1,0,infantry,1,1,4,4,2
#UnitPrototype,1,1,archers,1,1,4,2,2
#UnitPrototype,1,2,cavalry,1,1,5,4,3
#
#UnitPrototype,2,0,slime,1,1,2,4,2
#UnitPrototype,2,1,eye,1,1,5,2,3
#UnitPrototype,2,2,wyrm,1,1,6,3,3
# unit          at      arm unt sel   ai
Unit,72,324,1,0,true,5,30
Unit,108,324,1,0,false,5,30
Unit,144,324,1,0,false,5,30
Unit,180,324,1,2,false,5,30
Unit,216,324,1,1,false,5,30
# bad guys
Unit,144,108,2,0,false,5,30
Unit,180,72,2,0,false,1,30
Unit,180,36,2,1,false,1,20
Unit,216,72,2,2,false,4,30
Unit,252,72,2,0,false,1,30
#Picture,216,72,10,10,false,3,star,star
Objective,2,216,72,2
